Date,Adj Close,%Change,Returns on 10000
30-08-2021,370.231,2.33%,17719.23
31-08-2021,373.192,0.80%,17860.97
01-09-2021,374.186,0.27%,17908.52
02-09-2021,376.128,0.52%,18001.47
03-09-2021,375.564,-0.15%,17974.49
06-09-2021,374.790,-0.21%,17937.43
07-09-2021,373.985,-0.21%,17898.90
08-09-2021,375.996,0.54%,17995.13
09-09-2021,374.872,-0.30%,17941.36
13-09-2021,374.188,-0.18%,17908.60
14-09-2021,373.976,-0.06%,17898.49
15-09-2021,376.663,0.72%,18027.07
16-09-2021,382.819,1.63%,18321.69
17-09-2021,381.708,-0.29%,18268.53
20-09-2021,372.938,-2.30%,17848.78
21-09-2021,373.903,0.26%,17895.00
22-09-2021,373.745,-0.04%,17887.44
23-09-2021,379.941,1.66%,18183.96
24-09-2021,378.753,-0.31%,18127.09
27-09-2021,381.378,0.69%,18252.75
28-09-2021,378.751,-0.69%,18127.01
29-09-2021,378.554,-0.05%,18117.57
30-09-2021,377.596,-0.25%,18071.73
01-10-2021,378.130,0.14%,18097.28
04-10-2021,382.571,1.17%,18309.82
05-10-2021,384.080,0.39%,18382.04
06-10-2021,380.679,-0.89%,18219.28
07-10-2021,384.137,0.91%,18384.79
08-10-2021,384.872,0.19%,18419.98
11-10-2021,388.628,0.98%,18599.70
12-10-2021,391.850,0.83%,18753.93
13-10-2021,394.321,0.63%,18872.20
14-10-2021,399.071,1.20%,19099.50
18-10-2021,402.866,0.95%,19281.13
19-10-2021,397.628,-1.30%,19030.46
20-10-2021,395.738,-0.48%,18940.00
21-10-2021,397.666,0.49%,19032.29
22-10-2021,399.885,0.56%,19138.47
25-10-2021,404.893,1.25%,19378.18
26-10-2021,406.845,0.48%,19471.61
27-10-2021,405.310,-0.38%,19398.13
28-10-2021,395.053,-2.53%,18907.21
29-10-2021,391.055,-1.01%,18715.85
01-11-2021,395.780,1.21%,18942.01
02-11-2021,399.430,0.92%,19116.71
03-11-2021,397.020,-0.60%,19001.35
08-11-2021,400.199,0.80%,19153.49
09-11-2021,400.391,0.05%,19162.70
10-11-2021,397.620,-0.69%,19030.07
11-11-2021,393.451,-1.05%,18830.57
12-11-2021,395.594,0.54%,18933.13
15-11-2021,394.891,-0.18%,18899.45
16-11-2021,391.982,-0.74%,18760.22
17-11-2021,390.886,-0.28%,18707.80
18-11-2021,386.740,-1.06%,18509.36
22-11-2021,376.094,-2.75%,17999.83
23-11-2021,378.352,0.60%,18107.91
24-11-2021,380.646,0.61%,18217.68
25-11-2021,379.611,-0.27%,18168.15
26-11-2021,366.342,-3.50%,17533.13
29-11-2021,361.793,-1.24%,17315.40
30-11-2021,360.861,-0.26%,17270.79
01-12-2021,367.831,1.93%,17604.37
02-12-2021,371.303,0.94%,17770.57
03-12-2021,370.411,-0.24%,17727.88
06-12-2021,365.617,-1.29%,17498.42
07-12-2021,372.610,1.91%,17833.12
08-12-2021,378.966,1.71%,18137.28
09-12-2021,377.333,-0.43%,18059.15
10-12-2021,378.142,0.21%,18097.88
13-12-2021,378.629,0.13%,18121.15
14-12-2021,377.695,-0.25%,18076.49
15-12-2021,374.654,-0.81%,17930.94
16-12-2021,372.142,-0.67%,17810.69
17-12-2021,362.321,-2.64%,17340.65
20-12-2021,350.843,-3.17%,16791.32
21-12-2021,352.839,0.57%,16886.88
22-12-2021,356.452,1.02%,17059.79
23-12-2021,359.732,0.92%,17216.77
24-12-2021,355.761,-1.10%,17026.72
27-12-2021,356.097,0.09%,17042.81
28-12-2021,357.885,0.50%,17128.35
29-12-2021,358.675,0.22%,17166.18
30-12-2021,358.120,-0.15%,17139.60
31-12-2021,361.099,0.83%,17282.20
03-01-2022,369.537,2.34%,17686.02
04-01-2022,373.220,1.00%,17862.29
05-01-2022,378.480,1.41%,18114.05
06-01-2022,378.768,0.08%,18127.83
07-01-2022,379.964,0.32%,18185.07
10-01-2022,387.394,1.96%,18540.68
11-01-2022,387.376,0.00%,18539.83
12-01-2022,389.802,0.63%,18655.91
13-01-2022,390.381,0.15%,18683.61
14-01-2022,389.972,-0.10%,18664.03
17-01-2022,389.702,-0.07%,18651.12
18-01-2022,387.714,-0.51%,18555.95
19-01-2022,387.259,-0.12%,18534.19
20-01-2022,386.811,-0.12%,18512.76
21-01-2022,382.668,-1.07%,18314.48
24-01-2022,373.534,-2.39%,17877.33
25-01-2022,382.240,2.33%,18293.99
27-01-2022,385.655,0.89%,18457.42
28-01-2022,385.352,-0.08%,18442.91
31-01-2022,390.408,1.31%,18684.91
01-02-2022,392.538,0.55%,18786.86
02-02-2022,399.092,1.67%,19100.52
03-02-2022,395.558,-0.89%,18931.39
04-02-2022,391.950,-0.91%,18758.70
07-02-2022,386.880,-1.29%,18516.05
08-02-2022,386.992,0.03%,18521.45
09-02-2022,392.395,1.40%,18779.99
10-02-2022,396.835,1.13%,18992.52
11-02-2022,390.968,-1.48%,18711.71
14-02-2022,373.569,-4.45%,17878.99
15-02-2022,385.270,3.13%,18439.00
16-02-2022,383.579,-0.44%,18358.06
17-02-2022,380.427,-0.82%,18207.23
18-02-2022,380.325,-0.03%,18202.34
21-02-2022,380.095,-0.06%,18191.31
22-02-2022,375.807,-1.13%,17986.13
23-02-2022,376.034,0.06%,17996.95
24-02-2022,355.033,-5.58%,16991.86
25-02-2022,366.924,3.35%,17560.99
28-02-2022,366.873,-0.01%,17558.52
02-03-2022,361.795,-1.38%,17315.51
03-03-2022,357.659,-1.14%,17117.53
04-03-2022,351.566,-1.70%,16825.93
07-03-2022,336.968,-4.15%,16127.29
08-03-2022,341.828,1.44%,16359.88
