Date,Adj Close,%Change,Returns on 10000
27-04-2021,97.322,3.09%,17114.97
28-04-2021,98.553,1.27%,17331.56
29-04-2021,98.593,0.04%,17338.59
30-04-2021,98.318,-0.28%,17290.25
03-05-2021,100.074,1.79%,17598.93
04-05-2021,99.382,-0.69%,17477.35
05-05-2021,101.304,1.93%,17815.22
06-05-2021,103.244,1.92%,18156.55
07-05-2021,105.339,2.03%,18524.8
10-05-2021,107.692,2.23%,18938.76
11-05-2021,108.694,0.93%,19114.85
12-05-2021,107.421,-1.17%,18890.99
14-05-2021,106.474,-0.88%,18724.42
17-05-2021,107.159,0.64%,18844.9
18-05-2021,107.902,0.69%,18975.58
19-05-2021,107.276,-0.58%,18865.58
20-05-2021,107.33,0.05%,18875.08
21-05-2021,108.133,0.75%,19016.15
24-05-2021,108.575,0.41%,19093.92
25-05-2021,108.404,-0.16%,19063.97
26-05-2021,109.146,0.68%,19194.46
27-05-2021,108.803,-0.31%,19134.07
28-05-2021,108.656,-0.14%,19108.2
31-05-2021,109.623,0.89%,19278.32
01-06-2021,108.848,-0.71%,19141.91
02-06-2021,109.678,0.76%,19287.87
03-06-2021,110.494,0.74%,19431.46
04-06-2021,110.781,0.26%,19481.88
07-06-2021,112.04,1.14%,19703.38
08-06-2021,111.942,-0.09%,19686.16
09-06-2021,110.906,-0.93%,19503.92
10-06-2021,112.368,1.32%,19760.94
11-06-2021,113.493,1.00%,19958.8
14-06-2021,113.698,0.18%,19994.9
15-06-2021,114.916,1.07%,20209.06
16-06-2021,115.149,0.20%,20250.06
17-06-2021,114.314,-0.73%,20103.21
18-06-2021,113.403,-0.80%,19942.95
21-06-2021,114.997,1.41%,20223.27
22-06-2021,116.103,0.96%,20417.9
23-06-2021,116.317,0.18%,20455.41
24-06-2021,116.344,0.02%,20460.28
25-06-2021,117.5,0.99%,20663.5
28-06-2021,118.411,0.78%,20823.69
29-06-2021,118.17,-0.20%,20781.26
30-06-2021,119.094,0.78%,20943.77
01-07-2021,119.764,0.56%,21061.7
02-07-2021,121.159,1.16%,21306.9
05-07-2021,124.235,2.54%,21847.86
06-07-2021,123.379,-0.69%,21697.4
07-07-2021,123.657,0.22%,21746.2
08-07-2021,122.962,-0.56%,21624.14
09-07-2021,123.797,0.68%,21770.84
12-07-2021,126.333,2.05%,22216.96
13-07-2021,126.172,-0.13%,22188.49
14-07-2021,126.22,0.04%,22197
15-07-2021,126.555,0.27%,22256
16-07-2021,126.894,0.27%,22315.58
19-07-2021,128.102,0.95%,22527.91
20-07-2021,126.468,-1.27%,22240.72
22-07-2021,128.06,1.26%,22520.56
23-07-2021,127.939,-0.09%,22499.28
26-07-2021,129.793,1.45%,22825.34
27-07-2021,129.862,0.05%,22837.46
28-07-2021,129.621,-0.19%,22795.19
29-07-2021,130.985,1.05%,23035.01
30-07-2021,131.484,0.38%,23122.81
02-08-2021,133.662,1.66%,23505.75
03-08-2021,133.61,-0.04%,23496.55
04-08-2021,132.155,-1.09%,23240.67
05-08-2021,130.959,-0.90%,23030.45
06-08-2021,130.763,-0.15%,22996
09-08-2021,128.583,-1.67%,22612.54
10-08-2021,123.913,-3.63%,21791.36
11-08-2021,124.662,0.60%,21922.99
12-08-2021,127.834,2.54%,22480.8
13-08-2021,126.71,-0.88%,22283.24
16-08-2021,125.933,-0.61%,22146.56
17-08-2021,124.322,-1.28%,21863.2
18-08-2021,123.34,-0.79%,21690.52
20-08-2021,120.347,-2.43%,21164.26
23-08-2021,117.669,-2.23%,20693.22
24-08-2021,121.613,3.35%,21386.78
25-08-2021,123.34,1.42%,21690.47
26-08-2021,122.51,-0.67%,21544.63
27-08-2021,123.305,0.65%,21684.42
30-08-2021,124.882,1.28%,21961.65
31-08-2021,124.767,-0.09%,21941.53
01-09-2021,124.807,0.03%,21948.53
02-09-2021,125.627,0.66%,22092.73
03-09-2021,126.622,0.79%,22267.78
06-09-2021,129.104,1.96%,22704.16
07-09-2021,128.465,-0.50%,22591.77
08-09-2021,129.344,0.68%,22746.4
09-09-2021,129.794,0.35%,22825.54
13-09-2021,130.841,0.81%,23009.7
14-09-2021,131.401,0.43%,23108.2
15-09-2021,131.793,0.30%,23177.05
16-09-2021,132.405,0.46%,23284.67
17-09-2021,130.082,-1.75%,22876.26
20-09-2021,127.056,-2.33%,22344.1
21-09-2021,128.691,1.29%,22631.55
22-09-2021,131.375,2.09%,23103.52
23-09-2021,133.095,1.31%,23406.07
24-09-2021,132.263,-0.62%,23259.79
27-09-2021,132.539,0.21%,23308.22
28-09-2021,131.464,-0.81%,23119.15
29-09-2021,132.468,0.76%,23295.84
30-09-2021,133.238,0.58%,23431.13
01-10-2021,133.384,0.11%,23456.86
04-10-2021,136.497,2.33%,24004.29
05-10-2021,137.323,0.61%,24149.59
06-10-2021,134.369,-2.15%,23630.01
07-10-2021,135.969,1.19%,23911.47
08-10-2021,135.84,-0.09%,23888.84
11-10-2021,137.378,1.13%,24159.31
12-10-2021,138.376,0.73%,24334.77
13-10-2021,140.371,1.44%,24685.59
14-10-2021,141.937,1.12%,24961.07
18-10-2021,145.155,2.27%,25526.92
19-10-2021,141.131,-2.77%,24819.24
20-10-2021,138.404,-1.93%,24339.6
21-10-2021,138.969,0.41%,24439
22-10-2021,137.531,-1.03%,24186.13
25-10-2021,134.647,-2.10%,23678.9
26-10-2021,138.675,2.99%,24387.37
27-10-2021,138.658,-0.01%,24384.31
28-10-2021,135.107,-2.56%,23759.88
29-10-2021,134.927,-0.13%,23728.24
01-11-2021,138.329,2.52%,24326.5
02-11-2021,140.137,1.31%,24644.44
03-11-2021,139.454,-0.49%,24524.42
08-11-2021,143.078,2.60%,25161.68
09-11-2021,144.653,1.10%,25438.58
10-11-2021,143.637,-0.70%,25259.98
11-11-2021,142.568,-0.74%,25071.9
12-11-2021,142.583,0.01%,25074.68
15-11-2021,140.904,-1.18%,24779.34
16-11-2021,140.719,-0.13%,24746.79
17-11-2021,141.062,0.24%,24807.06
18-11-2021,138.39,-1.89%,24337.18
22-11-2021,134.277,-2.97%,23613.99
23-11-2021,137.648,2.51%,24206.78
24-11-2021,137.47,-0.13%,24175.4
25-11-2021,139.018,1.13%,24447.67
26-11-2021,134.143,-3.51%,23590.37
29-11-2021,131.311,-2.11%,23092.25
30-11-2021,131.801,0.37%,23178.45
01-12-2021,133.392,1.21%,23458.28
02-12-2021,134.722,1.00%,23692.25
03-12-2021,134.951,0.17%,23732.36
06-12-2021,133.035,-1.42%,23395.55
07-12-2021,135.25,1.66%,23785.06
08-12-2021,136.707,1.08%,24041.26
09-12-2021,138.103,1.02%,24286.83
10-12-2021,141.552,2.50%,24893.3
13-12-2021,141.382,-0.12%,24863.33
14-12-2021,140.119,-0.89%,24641.2
15-12-2021,139.286,-0.59%,24494.89
16-12-2021,137.921,-0.98%,24254.82
17-12-2021,133.855,-2.95%,23539.65
20-12-2021,128.965,-3.65%,22679.68
21-12-2021,131.24,1.76%,23079.87
22-12-2021,133.636,1.83%,23501.16
23-12-2021,134.923,0.96%,23727.54
24-12-2021,133.97,-0.71%,23559.93
27-12-2021,134.419,0.34%,23638.89
28-12-2021,136.42,1.49%,23990.75
29-12-2021,137.145,0.53%,24118.32
30-12-2021,136.75,-0.29%,24048.75
31-12-2021,138.008,0.92%,24270.07
03-01-2022,140.568,1.85%,24720.23
04-01-2022,141.056,0.35%,24806.12
05-01-2022,142.159,0.78%,25000.04
06-01-2022,142.629,0.33%,25082.68
07-01-2022,144.91,1.60%,25483.82
10-01-2022,147.965,2.11%,26021.1
11-01-2022,146.417,-1.05%,25748.77
12-01-2022,147.014,0.41%,25853.86
13-01-2022,147.495,0.33%,25938.42
14-01-2022,149.059,1.06%,26213.42
17-01-2022,150.14,0.73%,26403.51
18-01-2022,147.289,-1.90%,25902.19
19-01-2022,147.526,0.16%,25943.94
20-01-2022,147.416,-0.07%,25924.57
21-01-2022,144.754,-1.81%,25456.33
24-01-2022,137.299,-5.15%,24145.33
