Date,Adj Close,%Change,Returns on 10000
10-08-2021,171.367,-1.22%,15131.68
11-08-2021,170.541,-0.48%,15058.77
12-08-2021,173.152,1.53%,15289.35
13-08-2021,172.970,-0.11%,15273.20
16-08-2021,172.706,-0.15%,15249.92
17-08-2021,173.328,0.36%,15304.85
18-08-2021,173.444,0.07%,15315.09
20-08-2021,171.590,-1.07%,15151.36
23-08-2021,170.166,-0.83%,15025.65
24-08-2021,171.353,0.70%,15130.43
25-08-2021,171.750,0.23%,15165.54
26-08-2021,172.449,0.41%,15227.21
27-08-2021,173.283,0.48%,15300.88
30-08-2021,174.933,0.95%,15446.58
31-08-2021,176.108,0.67%,15550.35
01-09-2021,176.185,0.04%,15557.14
02-09-2021,176.751,0.32%,15607.05
03-09-2021,177.612,0.49%,15683.12
06-09-2021,177.021,-0.33%,15630.96
07-09-2021,177.031,0.01%,15631.80
08-09-2021,177.241,0.12%,15650.33
09-09-2021,178.820,0.89%,15789.79
13-09-2021,179.536,0.40%,15853.01
14-09-2021,179.916,0.21%,15886.58
15-09-2021,180.317,0.22%,15921.98
16-09-2021,181.428,0.62%,16020.07
17-09-2021,181.588,0.09%,16034.24
20-09-2021,181.377,-0.12%,16015.60
21-09-2021,182.226,0.47%,16090.55
22-09-2021,184.238,1.10%,16268.18
23-09-2021,186.191,1.06%,16440.61
24-09-2021,186.065,-0.07%,16429.53
27-09-2021,187.767,0.91%,16579.84
28-09-2021,186.512,-0.67%,16469.01
29-09-2021,185.755,-0.41%,16402.15
30-09-2021,185.186,-0.31%,16351.94
01-10-2021,185.589,0.22%,16387.49
04-10-2021,187.385,0.97%,16546.04
05-10-2021,188.388,0.54%,16634.66
06-10-2021,186.442,-1.03%,16462.85
07-10-2021,191.368,2.64%,16897.79
08-10-2021,192.100,0.38%,16962.42
11-10-2021,194.071,1.03%,17136.48
12-10-2021,194.470,0.21%,17171.66
13-10-2021,195.842,0.71%,17292.83
14-10-2021,197.596,0.90%,17447.67
18-10-2021,199.089,0.76%,17579.51
19-10-2021,196.193,-1.45%,17323.81
20-10-2021,194.297,-0.97%,17156.37
21-10-2021,193.185,-0.57%,17058.21
22-10-2021,191.508,-0.87%,16910.17
25-10-2021,188.939,-1.34%,16683.27
26-10-2021,191.879,1.56%,16942.93
27-10-2021,192.851,0.51%,17028.72
28-10-2021,191.214,-0.85%,16884.19
29-10-2021,191.462,0.13%,16906.10
01-11-2021,194.935,1.81%,17212.75
02-11-2021,196.025,0.56%,17309.03
03-11-2021,196.006,-0.01%,17307.33
08-11-2021,199.492,1.78%,17615.14
09-11-2021,200.347,0.43%,17690.59
10-11-2021,203.885,1.77%,18002.98
11-11-2021,203.299,-0.29%,17951.32
12-11-2021,207.264,1.95%,18301.40
15-11-2021,207.340,0.04%,18308.12
16-11-2021,207.572,0.11%,18328.63
17-11-2021,206.224,-0.65%,18209.60
18-11-2021,204.738,-0.72%,18078.35
22-11-2021,201.483,-1.59%,17790.94
23-11-2021,203.481,0.99%,17967.37
24-11-2021,204.107,0.31%,18022.65
25-11-2021,206.210,1.03%,18208.37
26-11-2021,198.908,-3.54%,17563.58
29-11-2021,195.191,-1.87%,17235.30
30-11-2021,198.532,1.71%,17530.36
01-12-2021,198.816,0.14%,17555.47
02-12-2021,199.957,0.57%,17656.17
03-12-2021,199.918,-0.02%,17652.73
06-12-2021,196.440,-1.74%,17345.62
07-12-2021,197.663,0.62%,17453.63
08-12-2021,200.607,1.49%,17713.62
09-12-2021,201.972,0.68%,17834.12
10-12-2021,202.286,0.16%,17861.83
13-12-2021,201.497,-0.39%,17792.19
14-12-2021,200.703,-0.39%,17722.04
15-12-2021,200.286,-0.21%,17685.27
16-12-2021,199.742,-0.27%,17637.16
17-12-2021,196.514,-1.62%,17352.21
20-12-2021,190.302,-3.16%,16803.67
21-12-2021,190.744,0.23%,16842.69
22-12-2021,193.879,1.64%,17119.46
23-12-2021,196.193,1.19%,17323.85
24-12-2021,194.641,-0.79%,17186.75
27-12-2021,194.141,-0.26%,17142.68
28-12-2021,197.046,1.50%,17399.17
29-12-2021,197.051,0.00%,17399.62
30-12-2021,195.723,-0.67%,17282.31
31-12-2021,197.476,0.90%,17437.12
03-01-2022,198.573,0.56%,17533.94
04-01-2022,199.281,0.36%,17596.53
05-01-2022,199.928,0.32%,17653.62
06-01-2022,200.292,0.18%,17685.74
07-01-2022,201.310,0.51%,17775.64
10-01-2022,202.558,0.62%,17885.89
11-01-2022,201.768,-0.39%,17816.12
12-01-2022,206.066,2.13%,18195.65
13-01-2022,205.847,-0.11%,18176.25
14-01-2022,206.852,0.49%,18265.01
17-01-2022,207.976,0.54%,18364.24
18-01-2022,205.264,-1.30%,18124.80
19-01-2022,205.359,0.05%,18133.23
20-01-2022,205.969,0.30%,18187.00
21-01-2022,204.214,-0.85%,18032.12
24-01-2022,194.804,-4.61%,17201.15
25-01-2022,196.917,1.08%,17387.78
27-01-2022,196.102,-0.41%,17315.83
28-01-2022,198.206,1.07%,17501.55
31-01-2022,201.040,1.43%,17751.81
01-02-2022,204.319,1.63%,18041.38
02-02-2022,206.466,1.05%,18230.89
03-02-2022,205.274,-0.58%,18125.66
04-02-2022,205.571,0.14%,18151.87
07-02-2022,203.889,-0.82%,18003.42
08-02-2022,203.226,-0.33%,17944.82
09-02-2022,204.346,0.55%,18043.74
10-02-2022,203.717,-0.31%,17988.24
11-02-2022,200.364,-1.65%,17692.10
14-02-2022,193.923,-3.21%,17123.35
15-02-2022,198.021,2.11%,17485.22
16-02-2022,199.363,0.68%,17603.74
17-02-2022,198.917,-0.22%,17564.39
18-02-2022,197.575,-0.68%,17445.83
21-02-2022,196.456,-0.57%,17347.07
22-02-2022,194.175,-1.16%,17145.64
23-02-2022,194.630,0.23%,17185.82
24-02-2022,186.768,-4.04%,16491.64
25-02-2022,192.010,2.81%,16954.45
28-02-2022,193.700,0.88%,17103.72
02-03-2022,192.895,-0.42%,17032.65
03-03-2022,193.482,0.30%,17084.46
04-03-2022,191.227,-1.17%,16885.31
07-03-2022,187.335,-2.04%,16541.69
08-03-2022,189.154,0.97%,16702.30
09-03-2022,192.179,1.60%,16969.38
10-03-2022,194.408,1.16%,17166.17
11-03-2022,195.309,0.46%,17245.81
14-03-2022,196.677,0.70%,17366.57
