Date,Adj Close,%Change,Returns on 10000
05-07-2021,112.525,0.99%,17428.51
06-07-2021,112.884,0.32%,17484.19
07-07-2021,113.535,0.58%,17584.98
08-07-2021,112.443,-0.96%,17415.76
09-07-2021,112.671,0.20%,17451.17
12-07-2021,112.520,-0.13%,17427.69
13-07-2021,113.164,0.57%,17527.47
14-07-2021,113.992,0.73%,17655.70
15-07-2021,113.990,0.00%,17655.37
16-07-2021,114.871,0.77%,17791.86
19-07-2021,114.582,-0.25%,17747.20
20-07-2021,112.639,-1.70%,17446.24
22-07-2021,114.425,1.58%,17722.75
23-07-2021,113.850,-0.50%,17633.70
26-07-2021,114.640,0.69%,17756.09
27-07-2021,114.731,0.08%,17770.14
28-07-2021,114.805,0.07%,17781.71
29-07-2021,115.369,0.49%,17869.05
30-07-2021,116.201,0.72%,17997.95
02-08-2021,117.604,1.21%,18215.24
03-08-2021,118.247,0.55%,18314.78
04-08-2021,116.390,-1.57%,18027.08
05-08-2021,114.891,-1.29%,17795.05
06-08-2021,115.077,0.16%,17823.84
09-08-2021,113.767,-1.14%,17620.83
10-08-2021,111.337,-2.14%,17244.49
11-08-2021,111.626,0.26%,17289.21
12-08-2021,113.481,1.66%,17576.56
13-08-2021,113.209,-0.24%,17534.48
16-08-2021,112.948,-0.23%,17494.00
17-08-2021,112.460,-0.43%,17418.40
18-08-2021,112.259,-0.18%,17387.40
20-08-2021,110.104,-1.92%,17053.61
23-08-2021,108.564,-1.40%,16814.96
24-08-2021,110.746,2.01%,17153.06
25-08-2021,111.259,0.46%,17232.39
26-08-2021,111.322,0.06%,17242.26
27-08-2021,112.852,1.37%,17479.22
30-08-2021,114.562,1.51%,17743.98
31-08-2021,115.080,0.45%,17824.30
01-09-2021,115.819,0.64%,17938.72
02-09-2021,116.838,0.88%,18096.61
03-09-2021,118.323,1.27%,18326.58
06-09-2021,118.413,0.08%,18340.48
07-09-2021,117.172,-1.05%,18148.33
08-09-2021,117.256,0.07%,18161.31
09-09-2021,117.590,0.29%,18213.08
13-09-2021,118.001,0.35%,18276.63
14-09-2021,119.683,1.43%,18537.12
15-09-2021,120.181,0.42%,18614.31
16-09-2021,120.089,-0.08%,18600.07
17-09-2021,118.296,-1.49%,18322.35
20-09-2021,116.274,-1.71%,18009.18
21-09-2021,116.825,0.47%,18094.58
