Date,Adj Close,%Change,Returns on 10000
07-09-2021,116.510,-0.09%,15501.71
08-09-2021,116.500,-0.01%,15500.43
09-09-2021,116.605,0.09%,15514.39
13-09-2021,116.509,-0.08%,15501.61
14-09-2021,116.674,0.14%,15523.55
15-09-2021,117.608,0.80%,15647.81
16-09-2021,118.346,0.63%,15745.97
17-09-2021,118.047,-0.25%,15706.27
20-09-2021,116.784,-1.07%,15538.11
21-09-2021,117.890,0.95%,15685.29
22-09-2021,117.786,-0.09%,15671.43
23-09-2021,119.636,1.57%,15917.62
24-09-2021,119.837,0.17%,15944.43
27-09-2021,119.848,0.01%,15945.90
28-09-2021,119.132,-0.60%,15850.62
29-09-2021,118.881,-0.21%,15817.14
30-09-2021,118.255,-0.53%,15733.83
01-10-2021,117.675,-0.49%,15656.79
04-10-2021,118.743,0.91%,15798.77
05-10-2021,119.632,0.75%,15917.06
06-10-2021,118.449,-0.99%,15759.65
07-10-2021,119.416,0.82%,15888.31
08-10-2021,120.118,0.59%,15981.71
11-10-2021,120.456,0.28%,16026.76
12-10-2021,120.764,0.26%,16067.69
13-10-2021,121.901,0.94%,16219.06
14-10-2021,123.098,0.98%,16378.24
18-10-2021,124.024,0.75%,16501.50
19-10-2021,123.633,-0.32%,16449.44
20-10-2021,122.612,-0.83%,16313.53
21-10-2021,122.034,-0.47%,16236.66
22-10-2021,121.609,-0.35%,16180.16
25-10-2021,121.677,0.06%,16189.17
26-10-2021,122.749,0.88%,16331.77
27-10-2021,122.360,-0.32%,16280.13
28-10-2021,119.989,-1.94%,15964.60
29-10-2021,118.742,-1.04%,15798.70
01-11-2021,120.472,1.46%,16028.84
02-11-2021,120.212,-0.22%,15994.31
03-11-2021,119.811,-0.33%,15940.87
08-11-2021,121.413,1.34%,16154.05
09-11-2021,121.249,-0.13%,16132.26
10-11-2021,121.067,-0.15%,16108.01
11-11-2021,120.128,-0.78%,15983.12
12-11-2021,121.666,1.28%,16187.74
15-11-2021,121.709,0.04%,16193.44
16-11-2021,120.967,-0.61%,16094.78
17-11-2021,120.292,-0.56%,16004.86
18-11-2021,119.392,-0.75%,15885.17
22-11-2021,117.081,-1.94%,15577.65
23-11-2021,117.662,0.50%,15655.05
24-11-2021,117.070,-0.50%,15576.19
25-11-2021,117.883,0.69%,15684.38
26-11-2021,114.456,-2.91%,15228.43
29-11-2021,114.639,0.16%,15252.81
30-11-2021,114.164,-0.41%,15189.54
01-12-2021,115.397,1.08%,15353.57
02-12-2021,116.974,1.37%,15563.43
03-12-2021,115.598,-1.18%,15380.42
06-12-2021,113.685,-1.66%,15125.85
07-12-2021,115.459,1.56%,15361.86
08-12-2021,117.426,1.70%,15623.65
09-12-2021,117.742,0.27%,15665.67
10-12-2021,117.704,-0.03%,15660.57
13-12-2021,116.741,-0.82%,15532.51
14-12-2021,116.449,-0.25%,15493.62
15-12-2021,115.753,-0.60%,15400.99
16-12-2021,115.933,0.16%,15424.96
17-12-2021,114.164,-1.53%,15189.58
20-12-2021,111.667,-2.19%,14857.37
21-12-2021,112.716,0.94%,14996.98
22-12-2021,113.992,1.13%,15166.63
23-12-2021,114.778,0.69%,15271.25
24-12-2021,114.315,-0.40%,15209.63
27-12-2021,114.867,0.48%,15283.12
28-12-2021,115.854,0.86%,15414.40
29-12-2021,115.721,-0.11%,15396.74
30-12-2021,115.653,-0.06%,15387.74
31-12-2021,116.661,0.87%,15521.85
03-01-2022,118.485,1.56%,15764.50
04-01-2022,119.698,1.02%,15925.93
05-01-2022,120.505,0.67%,16033.27
06-01-2022,119.298,-1.00%,15872.61
07-01-2022,119.746,0.38%,15932.26
